"","PopDensity","x","y"
"1421",17845.4234721306,700920,-687440
"1422",16800.6593500089,701840,-687440
"1423",22250.7835034091,702760,-687440
"1424",34484.324527615,703680,-687440
"1425",36801.6728846421,704600,-687440
"1426",33875.5704385206,705520,-687440
"1427",32313.5744119164,706440,-687440
"1428",34805.0508530481,707360,-687440
"1429",36382.2951263143,708280,-687440
"1430",29389.7198073107,709200,-687440
"1431",27306.5101619299,710120,-687440
"1432",27594.4160018326,711040,-687440
"1433",25269.9411926113,711960,-687440
"1434",25119.2968309085,712880,-687440
"1435",26587.5501602096,713800,-687440
"1436",25707.1041642203,714720,-687440
"1437",23597.7999703911,715640,-687440
"1438",22711.688624321,716560,-687440
"1482",18959.3741099042,690800,-686520
"1483",14894.5852302834,691720,-686520
"1484",18022.0089407137,692640,-686520
"1485",18063.3818144126,693560,-686520
"1486",14554.402682529,694480,-686520
"1487",20889.5329105208,695400,-686520
"1488",26021.3645765344,696320,-686520
"1489",25484.9828892723,697240,-686520
"1490",24451.3364428897,698160,-686520
"1491",22498.8117396909,699080,-686520
"1492",18594.5785739082,7e+05,-686520
"1493",16720.1589143725,700920,-686520
"1494",10385.2785557346,701840,-686520
"1495",8996.28438175452,702760,-686520
"1496",32442.1784230276,703680,-686520
"1497",31387.4653764113,704600,-686520
"1498",30789.0256209142,705520,-686520
"1499",37839.9622764295,706440,-686520
"1500",34163.9339334774,707360,-686520
"1501",29520.2373279232,708280,-686520
"1502",31778.5255854917,709200,-686520
"1503",26821.5239140321,710120,-686520
"1504",25071.6817685947,711040,-686520
"1505",20867.1733068109,711960,-686520
"1506",23740.8379515485,712880,-686520
"1507",26490.9882785326,713800,-686520
"1508",24966.1989826006,714720,-686520
"1509",20569.9682823512,715640,-686520
"1510",20046.9372951241,716560,-686520
"1511",21650.6832860068,717480,-686520
"1554",19459.1014724934,690800,-685600
"1555",17189.669290597,691720,-685600
"1556",15799.1627344647,692640,-685600
"1557",19414.7898894235,693560,-685600
"1558",20406.854898747,694480,-685600
"1559",22023.2816570301,695400,-685600
"1560",22581.8473574155,696320,-685600
"1561",25829.3928329746,697240,-685600
"1562",30657.9430334577,698160,-685600
"1563",27557.8612927541,699080,-685600
"1564",34038.0847552417,7e+05,-685600
"1565",29162.6882442256,700920,-685600
"1566",22695.434593615,701840,-685600
"1567",17311.512243237,702760,-685600
"1568",25790.500314135,703680,-685600
"1569",30202.0464889066,704600,-685600
"1570",35400.4313686873,705520,-685600
"1571",35880.5715661012,706440,-685600
"1572",31803.6391530188,707360,-685600
"1573",24746.675174062,708280,-685600
"1574",26490.5501969708,709200,-685600
"1575",24498.0424672953,710120,-685600
"1576",24270.2678364336,711040,-685600
"1577",20769.3409968506,711960,-685600
"1578",22693.2685767749,712880,-685600
"1579",24294.6491599828,713800,-685600
"1580",23561.249219505,714720,-685600
"1581",20943.3643786232,715640,-685600
"1582",19812.6940670016,716560,-685600
"1583",19883.3668162883,717480,-685600
"1626",19722.494038984,690800,-684680
"1627",17260.1240225959,691720,-684680
"1628",15715.5454221073,692640,-684680
"1629",19923.1618313643,693560,-684680
"1630",21559.2564139968,694480,-684680
"1631",22257.4994023538,695400,-684680
"1632",22271.6029693563,696320,-684680
"1633",24939.0534544067,697240,-684680
"1634",20508.7683681329,698160,-684680
"1635",28875.3630734747,699080,-684680
"1636",32599.6882987935,7e+05,-684680
"1637",34936.5165483982,700920,-684680
"1638",23385.8557239349,701840,-684680
"1639",17993.8256786025,702760,-684680
"1640",17620.4689842919,703680,-684680
"1641",31000.1512422259,704600,-684680
"1642",36627.6814059454,705520,-684680
"1643",22724.5742230734,706440,-684680
"1644",30230.0551052841,707360,-684680
"1645",25659.2072612523,708280,-684680
"1646",25065.1699217113,709200,-684680
"1647",22735.348530738,710120,-684680
"1648",23594.5729317999,711040,-684680
"1649",21049.3834039508,711960,-684680
"1650",19903.2267431631,712880,-684680
"1651",21846.2694888534,713800,-684680
"1652",21812.0177572192,714720,-684680
"1653",20345.6657486197,715640,-684680
"1654",15964.2541513942,716560,-684680
"1655",13916.4526844394,717480,-684680
"1697",20323.8380944904,689880,-683760
"1698",19946.802898095,690800,-683760
"1699",17829.232603841,691720,-683760
"1700",14298.1050681643,692640,-683760
"1701",20334.3623268037,693560,-683760
"1702",19258.3090938329,694480,-683760
"1703",21997.7344916504,695400,-683760
"1704",23525.2866552522,696320,-683760
"1705",24282.6038761634,697240,-683760
"1706",24791.2980861821,698160,-683760
"1707",34980.0570996299,699080,-683760
"1708",35529.6565415445,7e+05,-683760
"1709",24371.0450913341,700920,-683760
"1710",23997.5122750413,701840,-683760
"1711",24169.7024271822,702760,-683760
"1712",42868.201769587,703680,-683760
"1713",50493.318204775,704600,-683760
"1714",50930.3093994833,705520,-683760
"1715",36182.1913691306,706440,-683760
"1716",29120.6998140959,707360,-683760
"1717",20842.9818580619,708280,-683760
"1718",24079.8588669924,709200,-683760
"1719",22291.397328655,710120,-683760
"1720",22672.4759174151,711040,-683760
"1721",17901.2974373204,711960,-683760
"1722",15395.1384063489,712880,-683760
"1723",19622.628554198,713800,-683760
"1724",19851.8776490994,714720,-683760
"1725",18704.0505934072,715640,-683760
"1726",14430.1887241413,716560,-683760
"1727",12728.468862766,717480,-683760
"1767",19519.2556613225,688040,-682840
"1768",19501.9191832501,688960,-682840
"1769",18318.1790884697,689880,-682840
"1770",19470.6640573357,690800,-682840
"1771",20214.9253155714,691720,-682840
"1772",19416.6084151148,692640,-682840
"1773",21126.2482397413,693560,-682840
"1774",21545.0767196732,694480,-682840
"1775",22563.2179604916,695400,-682840
"1776",19984.1532952753,696320,-682840
"1777",18590.4762236061,697240,-682840
"1778",25757.9738200003,698160,-682840
"1779",29014.2410525606,699080,-682840
"1780",21770.326057012,7e+05,-682840
"1781",17347.5713201667,700920,-682840
"1782",18262.4728242778,701840,-682840
"1783",24804.5613959121,702760,-682840
"1784",23375.5632588681,703680,-682840
"1785",45870.235223776,704600,-682840
"1786",60360.4043073654,705520,-682840
"1787",36771.9692286704,706440,-682840
"1788",22754.807128895,707360,-682840
"1789",23909.2387207545,708280,-682840
"1790",24166.768127511,709200,-682840
"1791",21544.3484004833,710120,-682840
"1792",19497.2482532992,711040,-682840
"1793",19799.022340681,711960,-682840
"1794",19429.3946309643,712880,-682840
